day,nominal_infections,lower_beta_infections,higher_beta_infections
58,0.2716098971367936,0.20630640223692934,0.3485077938943206
59,0.2840923526535329,0.21562631113794298,0.36420369814110504
60,0.2969146249960966,0.2252477500676397,0.38019397389974113
61,0.31006497244940323,0.23516978804266567,0.3964485388054294
62,0.32352973824596,0.24539045812527158,0.41293505007962844
63,0.33729336723922354,0.2559067048075725,0.42961913791771733
64,0.35133841925743564,0.2667143337478287,0.4464646692627401
65,0.3656456302912805,0.27780798777798765,0.4634340447404914
66,0.38019397371112906,0.2891810979655558,0.48048853685834003
67,0.3949607650717639,0.30082586560846714,0.4975886135180454
68,0.4099217744089105,0.3127332422099654,0.5146943383952126
69,0.42505137149949296,0.32489292525237046,0.5317656978303911
70,0.4403226871723767,0.3372933670229941,0.5487630257611527
71,0.45570779027654884,0.3499217847005928,0.5656473167603158
72,0.471177896944459,0.36276419987077624,0.5823806316863063
73,0.48670356740380216,0.375805470202096,0.5989263845569132
74,0.5022549358565125,0.3890293522556897,0.6152496870222861
75,0.5178019470036419,0.4024185630839223,0.6313175975150983
76,0.5333145599842121,0.41595486128140935,0.6470993755798573
77,0.5487630255654244,0.4296191374856247,0.6625666798980994
78,0.5641180588106085,0.4433915147495276,0.6776937220086997
79,0.5793511095997966,0.4572514566922689,0.6924573982974146
80,0.5944345339728808,0.4711778967049216,0.7068373506666569
81,0.6093418005113124,0.48514934881495014,0.7208160193699963
82,0.624047679678811,0.49914404723690525,0.7343786304667203
83,0.6385283634116838,0.5131400921518681,0.7475131652564573
84,0.6527616486133907,0.5271155551854291,0.7602102975706856
85,0.6667270027195018,0.5410486548896583,0.7724632652316109
86,0.6804056876433581,0.5549178683895927,0.7842677912801584
87,0.6937808068064996,0.5687020578308407,0.7956219366329199
88,0.706837350505153,0.5823806312648494,0.8065259307766183
89,0.7195622215054401,0.595933614291707,0.816981993024113
90,0.7319442257115115,0.6093418002869734,0.8269941838682978
91,0.7439740531545154,0.6225868447766228,0.8365682157890774
92,0.755644247530948,0.6356513316143105,0.8457112744281201
93,0.7669491267564776,0.6485188951214056,0.8544318357775293
94,0.777884719200061,0.6611742529957483,0.8627394999333773
95,0.7884487145964169,0.6736032777157221,0.8706448190514868
96,0.7986403372891456,0.6857930464341695,0.8781591419501872
97,0.8084602552581842,0.6977318529870977,0.8852944622784836
98,0.8179104591071072,0.7094092439274249,0.8920632800093571
99,0.8269941837517681,0.7208160190244584,0.8984784718729242
100,0.8357157758725394,0.7319442255266054,0.9045531739504442
101,0.8440805894496528,0.7427871448463736,0.9103006753501901
102,0.8520948723606605,0.753339276795628,0.915734321732026
103,0.8597656566296518,0.7635962901097572,0.92086743137905
104,0.8671006620869213,0.7735549795149157,0.9257132193902073
105,0.8741081830542213,0.7832132498408829,0.9302847339609455
106,0.88079700780697,0.7925700419011463,0.9345947971868124
107,0.8871763146731523,0.8016252755085923,0.9386559629609827
108,0.8932555992131704,0.8103797871762752,0.942480484189163
109,0.8990445883420174,0.8188352594894528,0.9460802642421638
110,0.9045531738804476,0.8269941836110566,0.9494668357504257
111,0.9097913449625755,0.8348597674400955,0.9526513495290366
112,0.9147691292145171,0.842435880753897,0.9556445522165302
113,0.919496540475453,0.8497269893006938,0.9584567885407306
114,0.9239835307108961,0.8567380822947325,0.9610979823083432
115,0.9282399487433757,0.8634746257862319,0.9635776366503532
116,0.9322755037414315,0.8699424860510451,0.9659048443925968
117,0.9360997315339884,0.8761478826985347,0.9680882782718834
118,0.9397219752123431,0.8820973307546399,0.9701362097092043
119,0.943151363127227,0.8877975850994457,0.9720565092619528
120,0.9463967742307747,0.8932555991200316,0.9738566560590073
121,0.9494668357094995,0.898478471708971,0.9755437549604165
122,0.952369912264799,0.9034734103760804,0.9771245376668949
123,0.9551140915516948,0.9082476906575319,0.9786053839725135
124,0.9577071872060752,0.9128086200625951,0.979992330806554
125,0.9601567297508427,0.91716350742191,0.9812910843235247
126,0.9624699562272584,0.9213196327922799,0.9825070377784643
127,0.9646538258603764,0.9252842213275497,0.9836452792523224
128,0.9667150117581236,0.9290644209791582,0.9847106095504707
129,0.968659904705858,0.9326672804301193,0.9857075539817556
130,0.9704946241886948,0.9360997314708831,0.9866403742548545
131,0.972225014505487,0.9393685781150662,0.9875130840415173
132,0.9738566560352729,0.9424804840824109,0.9883294587548225
133,0.9753948741207779,0.94544195016104,0.989093049652973
134,0.9768447382503602,0.9482593116078308,0.9898071945582426
135,0.9782110768388911,0.9509387351531016,0.9904750290537242
136,0.9794984839398343,0.9534862078789593,0.9910995002815267
137,0.9807113232810586,0.9559075356604196,0.9916833751030772
138,0.9818537421362629,0.9582083444232893,0.9922292460403362
139,0.9829296767133917,0.9603940695541687,0.9927395497876488
140,0.9839428593759482,0.9624699561876416,0.9932165734169782
